,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1863,227589395,26/11/2018,within an hour,100%,100%,12,14,"['email', 'phone']",Feldmoching-Hasenbergl,48.19259,11.54741,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,4.0,4.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Free parking on premises"", ""Dryer"", ""Single level home"", ""Keypad"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Coffee maker: pour-over coffee"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free street parking"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$557.00,2,1125,2.9,1125.0,t,17,41,68,161,157,29,2,22/09/2019,09/09/2024,4.68,4.83,4.69,4.85,4.78,4.61,4.55,f,5,4,1,0,2.57
1864,3455520,03/09/2012,within an hour,100%,70%,1,1,"['email', 'phone']",Au-Haidhausen,48.12533,11.57859,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Outlet covers"", ""Heating"", ""Shared backyard"", ""Hot water kettle"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$326.00,2,1125,2.0,1125.0,t,5,9,32,304,19,8,1,25/09/2019,22/09/2024,4.95,4.84,5.0,4.84,5.0,5.0,4.79,f,1,1,0,0,0.31
1865,284794826,11/08/2019,within an hour,100%,70%,2,7,"['email', 'phone']",Altstadt-Lehel,48.13712,11.58925,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Canal view"", ""Dishes and silverware"", ""Game console: Xbox One"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Shared patio or balcony"", ""Hangers"", ""TV"", ""Washer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Clothing storage: dresser""]",$200.00,2,1125,2.0,1125.0,t,11,18,41,314,74,26,1,24/09/2019,02/09/2024,4.73,4.8,4.51,4.89,4.84,4.82,4.53,f,2,0,2,0,1.21
1871,285252218,13/08/2019,within an hour,100%,100%,1,1,['phone'],Sendling-Westpark,48.11238,11.53178,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Heating"", ""Oven"", ""Hair dryer"", ""Microwave"", ""Essentials"", ""Kitchen"", ""Lock on bedroom door"", ""Dishes and silverware"", ""Wifi"", ""Dishwasher"", ""Free street parking"", ""Stove"", ""Refrigerator""]",$130.00,1,1125,1.0,1125.0,t,2,12,29,257,422,155,10,22/09/2019,24/09/2024,4.96,4.97,4.98,4.95,4.94,4.8,4.9,t,1,0,1,0,6.91
1872,52499367,28/12/2015,within a few hours,100%,0%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.15453,11.53263,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$80.00,1,7,1.0,7.0,t,0,0,23,23,3,0,0,22/09/2019,09/10/2019,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,1,0,1,0,0.05
1873,173551885,15/02/2018,within an hour,100%,100%,2,3,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12332,11.55329,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Hangers"", ""TV"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Room-darkening shades"", ""Wifi"", ""Refrigerator"", ""Elevator"", ""Bed linens""]",$336.00,2,20,2.0,20.0,t,7,7,7,7,12,3,1,25/09/2019,23/09/2024,4.75,4.83,4.92,5.0,4.92,5.0,4.33,f,2,2,0,0,0.2
1880,70923860,08/05/2016,within an hour,93%,87%,2,2,"['email', 'phone']",Schwabing-Freimann,48.17731,11.61018,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$105.00,2,1125,2.0,1125.0,t,0,8,9,121,14,2,0,04/12/2019,25/08/2024,4.36,4.29,3.93,4.64,4.64,4.86,3.93,f,2,1,1,0,0.24
1881,286133294,15/08/2019,within an hour,100%,100%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.16399,11.5378,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,2.0,"[""Smoke alarm"", ""Hangers"", ""TV"", ""Heating"", ""Washer"", ""Hair dryer"", ""Pets allowed"", ""Dryer"", ""Iron"", ""Essentials"", ""Kitchen"", ""Smoking allowed"", ""Host greets you"", ""Elevator""]",$240.00,2,31,2.0,31.0,t,17,17,17,17,7,1,1,15/09/2019,23/09/2024,4.86,5.0,4.86,5.0,5.0,4.43,4.43,f,1,1,0,0,0.11
1882,286072538,15/08/2019,within a few hours,100%,67%,1,2,"['email', 'phone']",Sendling-Westpark,48.11294,11.52367,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Heating"", ""Hair dryer"", ""Essentials"", ""Wifi""]",$160.00,2,730,2.0,730.0,t,0,0,8,8,14,2,0,22/09/2019,03/10/2023,5.0,5.0,5.0,5.0,5.0,4.86,4.71,f,1,0,1,0,0.23
1883,129420,21/05/2010,within an hour,100%,0%,1,1,"['email', 'phone']",Schwanthalerhöhe,48.13559,11.54219,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Kitchen"", ""Lock on bedroom door"", ""Wifi"", ""Host greets you""]",$190.00,2,1125,2.0,1125.0,t,27,57,87,177,1,0,0,25/09/2022,25/09/2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.04
1889,150161997,11/09/2017,a few days or more,0%,13%,2,3,"['email', 'phone']",Bogenhausen,48.14081,11.61388,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""Beach essentials"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Shared patio or balcony"", ""Hangers"", ""Ethernet connection"", ""Washer"", ""Iron"", ""Free street parking"", ""Lock on bedroom door"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$80.00,3,11,3.0,11.0,t,20,50,80,355,35,0,0,27/09/2019,16/03/2023,4.91,4.97,4.77,4.94,5.0,5.0,4.86,f,2,0,2,0,0.58
1891,59716430,21/02/2016,within a few hours,100%,100%,2,2,"['email', 'phone']",Sendling,48.12095,11.55127,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Hot water kettle"", ""Coffee maker: espresso machine"", ""Courtyard view"", ""Induction stove"", ""Dishes and silverware"", ""Koenic refrigerator"", ""Elevator"", ""Bed linens"", ""Exercise equipment: rowing"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Ethernet connection"", ""TV"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Babysitter recommendations"", ""Neff stainless steel oven"", ""Paid parking lot on premises \u2013 1 space"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""First aid kit"", ""Free dryer \u2013 In unit"", ""Alverde conditioner"", ""Essentials"", ""Wifi \u2013 47 Mbps"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Board games"", ""Dining table"", ""Bowling alley"", ""Kitchen"", ""Hammock"", ""Pool table"", ""Body soap"", ""Toaster""]",$236.00,2,9,2.0,9.0,t,2,2,2,2,10,2,2,30/09/2019,22/09/2024,4.9,4.9,4.8,4.8,5.0,5.0,4.8,f,2,1,1,0,0.16
1893,287536823,20/08/2019,within a few hours,100%,75%,1,1,"['email', 'phone']",Schwabing-Freimann,48.16253,11.58817,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Elevator"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Laundromat nearby"", ""Microwave"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Private entrance"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Coffee"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Wifi"", ""Body soap"", ""Toaster""]",$59.00,14,90,14.0,90.0,t,0,0,23,113,34,3,0,22/09/2019,22/06/2024,5.0,4.97,4.94,4.91,4.97,4.94,4.91,f,1,0,1,0,0.56
1896,287867664,21/08/2019,within a day,100%,64%,1,1,"['email', 'phone']",Maxvorstadt,48.14293,11.54039,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,1.0,"[""Smoke alarm"", ""Hot water"", ""Heating"", ""Cleaning available during stay"", ""Pets allowed"", ""Essentials"", ""Kitchen"", ""Wifi"", ""Host greets you"", ""Elevator""]",$499.00,1,1125,1.0,1125.0,t,21,51,81,356,11,4,0,24/09/2019,16/06/2024,5.0,5.0,4.82,4.91,5.0,5.0,4.73,f,1,1,0,0,0.18
1897,13382100,21/03/2014,within an hour,100%,100%,1,1,"['email', 'phone']",Schwabing-West,48.16313,11.56538,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Induction stove"", ""Dishes and silverware"", ""Backyard"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Rice maker"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$383.00,3,8,3.0,8.0,t,4,15,15,185,43,9,0,06/10/2019,16/08/2024,4.93,4.91,4.79,4.95,4.98,4.95,4.74,f,1,1,0,0,0.71
1901,52800186,30/12/2015,within an hour,100%,92%,1,5,"['email', 'phone']",Maxvorstadt,48.15056,11.56411,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Dryer"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Blender"", ""Elevator"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Bathtub"", ""Hot water"", ""Oven"", ""Hair dryer"", ""City skyline view"", ""Conditioner"", ""Essentials"", ""Coffee"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$800.00,2,1125,2.0,1125.0,t,8,8,8,8,23,13,1,19/07/2020,02/09/2024,4.7,4.83,4.26,4.83,5.0,4.96,4.61,f,1,1,0,0,0.45
1908,6533447,23/05/2013,within an hour,100%,0%,1,1,"['email', 'phone']",Schwabing-West,48.16033,11.57657,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Outdoor furniture"", ""Heating"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Iron"", ""Freezer"", ""Free street parking"", ""Exercise equipment: elliptical, free weights, yoga mat"", ""Private entrance"", ""BBQ grill: gas"", ""Bathtub"", ""Cooking basics"", ""Private gym"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap""]",$100.00,2,1125,2.0,1125.0,t,1,1,1,68,26,0,0,03/01/2020,01/07/2023,4.69,4.65,4.77,4.69,4.69,4.73,4.46,f,1,1,0,0,0.45
1909,215346319,14/09/2018,within an hour,100%,100%,1,1,['phone'],Au-Haidhausen,48.12255,11.59064,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Single level home"", ""Stove"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Outdoor playground"", ""Dedicated workspace"", ""Hangers"", ""Washer"", ""Laundromat nearby"", ""Iron"", ""Lock on bedroom door"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Bathtub"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Mini fridge"", ""Body soap""]",$185.00,1,14,1.0,14.0,t,10,10,10,10,9,2,0,22/09/2019,01/10/2023,4.33,4.89,4.67,4.78,4.67,4.67,4.22,t,1,0,1,0,0.15
1911,288449127,23/08/2019,within an hour,100%,70%,3,4,"['email', 'phone']",Schwanthalerhöhe,48.13902,11.52931,Private room in rental unit,Private room,1,1.0,1 shared bath,0.0,2.0,"[""Hot water"", ""Heating"", ""Essentials"", ""Kitchen"", ""Wifi""]",$143.00,1,4,1.0,4.0,t,0,0,0,0,12,7,7,30/08/2019,21/09/2024,4.75,4.83,4.75,4.83,4.58,4.67,4.67,t,3,0,2,1,0.19
1913,145599342,12/08/2017,within an hour,100%,77%,4,4,"['email', 'phone']",Au-Haidhausen,48.13254,11.5919,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Hangers"", ""Hot water"", ""Heating"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Free street parking"", ""Wifi"", ""Shampoo"", ""Elevator""]",$150.00,1,30,1.0,30.0,t,17,47,74,335,35,18,1,13/10/2019,02/09/2024,4.97,4.97,4.94,4.91,4.94,4.97,4.74,f,2,0,2,0,0.58
1914,5490245,16/03/2013,within a few hours,100%,100%,2,2,"['email', 'phone', 'work_email']",Pasing-Obermenzing,48.13839,11.44354,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Heating"", ""Toaster"", ""Dryer"", ""Single level home"", ""Dishes and silverware"", ""Stainless steel gas stove"", ""Blender"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Shared patio or balcony"", ""Hangers"", ""Washer"", ""Free driveway parking on premises \u2013 1 space"", ""Iron"", ""Indoor fireplace"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Fire pit"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Private living room"", ""Barbecue utensils"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Clothing storage: dresser""]",$72.00,1,28,1.0,26.9,t,8,32,58,58,130,28,2,20/10/2019,22/09/2024,4.85,4.92,4.95,4.86,4.87,4.77,4.82,f,2,1,1,0,2.16
1915,52981690,01/01/2016,within an hour,98%,100%,12,18,"['email', 'phone']",Milbertshofen-Am Hart,48.18558,11.56405,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,2.0,2.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Heating"", ""Hair dryer"", ""High chair"", ""Lockbox"", ""Essentials"", ""Kitchen"", ""Self check-in"", ""Wifi"", ""Crib"", ""Patio or balcony""]",$800.00,2,100,2.0,100.0,t,12,12,12,12,26,3,0,23/09/2019,05/10/2023,4.85,4.85,4.81,4.96,4.77,4.58,4.58,f,7,5,2,0,0.43
1917,289594057,27/08/2019,within a few hours,100%,67%,1,1,['phone'],Hadern,48.11906,11.48888,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""TV with standard cable"", ""City skyline view"", ""Essentials"", ""Dishwasher"", ""Free washer"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Kitchen"", ""Wifi"", ""Mountain view""]",$200.00,2,730,2.1,730.0,t,4,4,4,4,9,1,0,28/09/2019,30/09/2023,4.56,4.78,4.89,4.78,5.0,4.89,4.33,f,1,1,0,0,0.15
1918,227589395,26/11/2018,within an hour,100%,100%,12,14,"['email', 'phone']",Feldmoching-Hasenbergl,48.19085,11.54804,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,4.0,4.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Keypad"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Portable fans"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$597.00,3,1125,2.9,1125.0,t,17,39,69,176,105,20,2,09/09/2019,20/09/2024,4.71,4.69,4.73,4.8,4.72,4.55,4.55,f,5,4,1,0,1.71
1920,290090743,29/08/2019,within a day,100%,54%,1,1,"['email', 'phone']",Bogenhausen,48.16905,11.64531,Entire rental unit,Entire home/apt,10,2.5,2.5 baths,3.0,6.0,"[""Outdoor furniture"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Elevator"", ""Hangers"", ""TV"", ""Lake access"", ""Washer"", ""Microwave"", ""Iron"", ""Free street parking"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$635.00,1,100,1.0,100.0,t,27,34,41,313,19,4,0,29/09/2019,15/07/2024,4.84,4.95,4.79,4.89,4.95,4.68,4.42,f,1,1,0,0,0.31
1921,75688975,04/06/2016,within a day,100%,83%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.15017,11.54219,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Exercise equipment: yoga mat"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""L\u00b4Or\u00e9al, Adidas body soap"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""Laundromat nearby"", ""Iron"", ""Room-darkening shades"", ""AEG refrigerator"", ""Cooking basics"", ""Gasofen/gas oven"", ""Hot water"", ""Cleaning available during stay"", ""Gas stove"", ""Shower gel"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Private patio or balcony"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Wifi""]",$300.00,2,3,2.0,3.0,t,4,4,4,4,7,4,0,07/10/2019,10/07/2024,5.0,5.0,4.86,5.0,5.0,4.86,4.71,f,1,1,0,0,0.12
1924,290453092,31/08/2019,within an hour,100%,97%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12883,11.56083,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Rice maker"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Safe"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$157.00,4,90,3.9,1125.0,t,2,2,3,8,65,24,2,25/10/2019,02/09/2024,4.98,4.95,4.97,5.0,4.89,4.94,4.82,f,1,0,1,0,1.08
